Temperatura;Densidade;Calor espec¡fico;Condutividade t‚rmica;Viscosidade;Pr
204.44;7.208.307;2.637.684;1.228.821.613;460.0;0.0
176.66;740.853.775;251.208;124.612.896;600.0;0.0
148.88;76.087.685;2.470.212;1.263.436.306;850.0;0.0
121.11;780.899.925;2.344.608;1.280.743.653;1300.0;0.0
93.33;7.909.114.625;2.219.004;1.298.051;1900.0;0.0
65.55;820.946.075;20.934;1.315.358.346;3000.0;0.0
37.77;84.096.915;1.967.796;1.332.665.693;4600.0;0.0
