Temperatura;Densidade;Calor espec¡fico;Condutividade t‚rmica;Viscosidade;Pr
260.0;740.853.775;2.847.024;1.124.977.533;1400.0;0.0
232.22;7.508.653.125;272.142;114.228.488;2200.0;0.0
204.44;7.708.883.875;2.595.816;1.159.592.226;3000.0;0.0
176.66;7.909.114.625;2.470.212;1.176.899.573;5350.0;0.0
148.88;8.109.345.375;2.344.608;119.420.692;7700.0;0.0
15.55;901.038.375;1.800.324;1.298.051;18980.0;0.0
