Temperatura;Densidade;Calor espec¡fico;Condutividade t‚rmica;Viscosidade;Pr
400.0;530.611;36.159;127.748;15.0;0.0
350.0;575.663;34.011;130.448;29.0;0.0
300.0;610.703;31.863;132.422;55.0;0.0
250.0;650.749;29.715;134.672;103.0;0.0
200.0;685.79;27.568;136.401;210.0;0.0
150.0;720.83;2.542;138.48;350.0;0.0
100.0;755.871;23.272;141.077;630.0;0.0
50.0;790.911;21.124;142.801;1200.0;0.0
0.0;825.951;18.976;145.058;2600.0;0.0
